ID,Nom,Sous-Segment,Pays,Ville,Site Web,Directeur / CEO,Email,Telephone,Priorite,Statut Pipeline,Owner,Programmes Cles,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
H11,Comoe Capital,Fonds / Accelerateur,Cote d'Ivoire,Abidjan (Plateau),https://comoecapital.com/,Djibril Doumbia (DG),,,P1,Prospect,Lamine,1er fonds impact PME/startups CI - 20-300M FCFA - coaching - sponsorise I&P,Suivi des investissements - KPIs startups portfolio,,,,,PROSPECT PRIORITAIRE - lien I&P (actionnaire Etudesk)
H12,MEST Africa CI,Incubateur / Fonds,Cote d'Ivoire,Abidjan,https://mfroundation.org/,,,,P2,Prospect,,Formation tech - fonds amorcage - Meltwater Foundation,Gestion des cohortes software pan-africaines,,,,,
H13,CTIC Dakar,Incubateur,Senegal,Dakar,https://www.cticdakar.com/,Isidore Mbodji (DG),contact@cticdakar.com,+221 33 842 49 00,P1,Prospect,Lamine,Incubateur leader TIC Senegal - conseil strategie - partenariat CIPMEN Niger,Gestion des startups incubees - suivi KPIs,,,,,PROSPECT PRIORITAIRE - leader Senegal
H14,Jokkolabs Dakar,Coworking / Hub,Senegal,Dakar (Sacre Coeur 3),https://www.jokkolabs.net/,Karim Sy (Fondateur),,,P2,Prospect,,Pionnier coworking Afrique (2010) - presence Dakar / Saint-Louis / Bamako / Ouagadougou / Paris,Reseau multi-villes - entrepreneuriat - Open Data,,,,,
H15,Impact Hub Dakar,Incubateur / Coworking,Senegal,Dakar (Keur Gorgui),https://dakar.impacthub.net,,,+221 77 175 81 77,P2,Prospect,,Coworking / incubation / acceleration - impact social,Gestion cohortes,,,,,
H16,Concree,Incubateur / Plateforme virtuelle,Senegal,Dakar,https://concree.com/,Babacar Birane (CEO),,,P1,Prospect,Lamine,1ere plateforme incubation virtuelle Afrique (2014) - 700+ entrepreneurs - USAID / GIZ / Enabel / AFD,Gestion virtuelle des cohortes - 9 villes senegalaises - plateforme existante,,,,,PROSPECT STRATEGIQUE - integration ou partenariat
H17,Teranga Tech Incub,Reseau d'incubateurs,Senegal,Dakar + 4 villes,https://www.terangatechincub.org/,,,,P2,Prospect,,5 incubateurs (Dakar / Saint-Louis / Kaolack / Ziguinchor / Banjul) - 70 projets/an,Multi-sites - mentorat 6 mois,,,,,Soutien Ambassade de France
H18,Orange Digital Center Senegal,Hub Digital / Accelerateur,Senegal,Dakar,https://orangedigitalcenter.sn/,,contact@orangedigitalcenter.sn,+221 33 839 21 00,P1,Prospect,Lamine,Coding school / FabLab / Orange Fab / Orange Ventures - 2000 m2 - 6 etages,1er ODC en Afrique de l'Ouest - gestion apprenants/startups,,,,,PROSPECT PRIORITAIRE
H19,Orange Startup Studio Senegal,Startup Studio,Senegal,Dakar,https://orangestartupstudio.sn/,,,,P2,Prospect,,Support startups - partenariats Orange - reseau 20 pays,Suivi startups studio,,,,,
H20,Sonatel Academy / Simplon Dakar,Ecole de codage,Senegal,Dakar,https://sonatelacademy.com/,,,+221 33 824 29 27,P1,Prospect,,Formation gratuite - dev web/mobile - data - digital - Simplon.co,Gestion des promotions - suivi apprenants - placement,,,,,1ere ecole codage gratuite Afrique Ouest
H21,La Fabrique,Incubateur / Accelerateur,Burkina Faso,Ouagadougou,https://www.lafabrique-bf.com/,Lisa Barutel,,,P1,Prospect,,1er incubateur social Afrique de l'Ouest (2014) - label Afric'innov,Gestion entreprises sociales - coworking,,,,,
H22,Jokkolabs Ouagadougou,Coworking / Hub,Burkina Faso,Ouagadougou (Ouaga 2000),https://www.jokkolabs.net/,,,,P3,Prospect,,Reseau Jokkolabs - startups et freelances,Limite,,,,,
H23,OuagaLab,FabLab / Tech Hub,Burkina Faso,Ouagadougou,http://www.ouagalab.org/,Gildas Guiella,gildasguiella@ouagalab.bf,+226 70766380,P2,Prospect,,1er FabLab Afrique francophone - FabLab Solidaire Orange - prototypage,Gestion projets prototypage,,,,,
H24,2iE Technopole,Hub Innovation / Formation,Burkina Faso,Ouagadougou,https://www.2ie-edu.org/,,2ie@2ie-edu.org,+226 25 49 28 00,P2,Prospect,,Institut international ingenierie - technopole etudiants-entrepreneurs,Lien avec CRM Universites (2iE),,,,,
H25,Orange Digital Center Burkina,Hub Digital,Burkina Faso,Ouagadougou,https://www.orangedigitalcenters.com/country/BF/home,,,,P2,Prospect,,Coding school - FabLab - Orange Fab - AWS,Gestion apprenants,,,,,
H26,Djanta Tech Hub,Tech Hub / Campus,Togo,Lome,https://djantahub.tg/,,,,P1,Prospect,Lamine,1er campus technologique Togo - 3000 m2 - Academy / Lab / Space / Start / NanaTech,5 programmes integres - gestion massive apprenants et startups,,,,,PROSPECT PRIORITAIRE - ecosysteme complet
H27,WoeLab,FabLab / Tech Hub,Togo,Lome (Djidjole),https://www.woelabo.com/,Senamé Koffi Agbodjinou,,,P2,Prospect,,1300 m2 - 500+ fellows - 12 startups - 200 evenements - 1ere imprimante 3D recyclee,Gestion fellows et startups,,,,,Pionnier low-tech Afrique
H28,CUBE,Incubateur,Togo,Lome (Kpogan),https://saeicube.com/,Urbain Amoussou,,,P2,Prospect,,Biotech / energie / education - OIF - PNUD - fonds Ki U-Invest,Gestion incubes - formation 300 jeunes digital,,,,,
H29,JIED Togo,Incubateur / Accelerateur,Togo,Lome (Kegue),https://jied-togo.org/,Malick H. Ayeva,,+228 90 05 80 55,P3,Prospect,,Coaching - formation marketing / comptabilite / management / RH,Formation et coaching personnalise,,,,,
H30,Nunya Lab,Incubateur,Togo,Lome,,,,,P3,Prospect,,Initiative ministerielle - modele K-Lab Rwanda - plateforme PRIME,Startups solutions technologiques,,,,,
H31,Seme City,Hub Innovation / Cite,Benin,Ouidah,https://semecity.bj/,Claude Borna,,,P1,Prospect,,Ecocite 360 hectares - formation / recherche / innovation / incubation - capacite 30 000,Gestion massive - campus en construction - potentiel enorme,,,,,PROSPECT STRATEGIQUE - soutien gouvernemental
H32,EtriLabs,Incubateur / Tech Hub,Benin,Cotonou + Parakou + Dakar,https://etrilabs.com/,Senam Beheton (PDG),,+229 21 31 64 43,P1,Prospect,,Coworking / incubation / acceleration / formation - 3 centres Benin + Dakar,Gestion multi-sites - solutions entreprises,,,,,
H33,BloLab,FabLab / Hub Innovation,Benin,Cotonou,https://blolab.bj/,Cossi Medard Agbayazon,,,P2,Prospect,,1er FabLab du Benin - formation - prototypage - accelerateur impact,Gestion projets innovation,,,,,
H34,Impact Hub Bamako,Incubateur / Coworking,Mali,Bamako + 4 villes,https://the-hub.company/,,,,P1,Prospect,,1ere implantation Impact Hub Afrique francophone - 5 villes (Bamako / Segou / Mopti / Sikasso / Tombouctou),Gestion multi-sites - incubation / acceleration,,,,,
H35,DoniLab,Incubateur / Coworking / FabLab,Mali,Bamako + 3 villes,https://www.donilab.net/,Tidiane Ball,,,P2,Prospect,,ICT / sante / innovation sociale - 4 villes - FabLab,Gestion multi-sites,,,,,
H36,Jokkolabs Bamako,Coworking / Hub,Mali,Bamako,https://www.jokkolabs.net/,,,,P3,Prospect,,Reseau Jokkolabs - entrepreneuriat - Open Data,Limite,,,,,
H37,Orange Digital Center Mali,Hub Digital,Mali,Bamako,https://www.orangedigitalcenters.com/,,,,P2,Prospect,,Coding school / FabLab / Orange Fab / Orange Ventures - AWS,Gestion apprenants,,,,,Operationnel depuis juillet 2021
H38,CIPMEN,Incubateur,Niger,Niamey,https://www.cipmen.org/,Almoktar Allahoury (DG),,,P1,Prospect,,1er incubateur Niger (2013) - PPP Orange / Total / Veolia / CTIC - ICT / energies / environnement,Pre-incubation / incubation / acceleration,,,,,
H39,AfricaWorks Dakar,Coworking / Hub,Senegal,Dakar (Route de Ouakam),https://www.africaworks.co/,Gregoire Schwebig,info@dakar.africaworks.co,+27 79 882 7447,P3,Prospect,,Coworking et coliving - bureaux services,Limite,,,,,
H40,Simplon Cote d'Ivoire,Bootcamp / Ecole de code,Cote d'Ivoire,Abidjan,https://simplon.ci/,Raissa Armelle Banhoro (Dir CI),,+225 05 033 821 55,P1,Prospect,Lamine,Dev web/mobile / marketing digital / UI-UX / IoT / data-IA - partenariat MTN Academy,Gestion des cohortes intensives - suivi insertion pro,,,,,Fondee 2018 CI - modele gratuit
H41,GOMYCODE Cote d'Ivoire,Bootcamp / Ecole de tech,Cote d'Ivoire,Abidjan,https://gomycode.com/ic/fr/,,,,P1,Prospect,Lamine,Dev web / design / DevOps / data science - 8 pays - levee $8M,Gestion cohortes full-time et part-time,,,,,En croissance rapide
H42,NaN Digital Academy,Bootcamp,Cote d'Ivoire,Abidjan,https://nan.ci/,,,,P2,Prospect,,Dev web/mobile / community management / design / reseau VoIP,Gestion parcours - dimension entrepreneuriale,,,,,
H43,GOMYCODE Senegal,Bootcamp / Ecole de tech,Senegal,Dakar,https://gomycode.com/SN-FR/home,,,,P2,Prospect,,Dev web / design / DevOps / data science,Gestion cohortes,,,,,Meme reseau que GOMYCODE CI
H44,Bakeli / Volkeno,Ecole de tech / Outsourcing,Senegal,Dakar,https://www.bakeli.tech/,Abdoul Khadre Diallo (CEO),,+221 33 827 67 91,P1,Prospect,Lamine,Programmation / marketing digital / UI-UX / business / systemes embarques - bourse 70%,Former puis placer - triple activite - aussi en Guinee,,,,,PROSPECT PRIORITAIRE - modele aligne
H45,ALX Africa,Formation tech pan-africain,Pan-africain,En ligne,https://www.alxafrica.com/,Fred Swaniker,,,P1,Prospect,,Software engineering / data science / cloud / IA - 250 000+ apprenants - Mastercard Foundation,Gestion massive des apprenants - offre Corporate Training,,,,,PROSPECT STRATEGIQUE - volume continental
H46,Kabakoo Academies,Ecole innovation tech,Mali,Bamako,https://www.kabakoo.africa/,Yanick Kemayou,,,P2,Prospect,,Tech + savoirs indigenes - IA (Bamako.ai) - UNESCO/WEF,Innovation pedagogique - gestion par projets,,,,,School of the Future (WEF 2020)
